code,the,rur
01.00,"Agriculture, General ",Life Sciences
01.01,Agricultural Business and Management ,Life Sciences
01.02,Agricultural Mechanization ,Life Sciences
01.03,Agricultural Production Operations ,Life Sciences
01.04,Agricultural and Food Products Processing ,Life Sciences
01.05,Agricultural and Domestic Animal Services ,Life Sciences
01.06,Applied Horticulture and Horticultural Business Services ,Life Sciences
01.07,International Agriculture ,Life Sciences
01.08,Agricultural Public Services ,Life Sciences
01.09,Animal Sciences ,Life Sciences
01.10,Food Science and Technology ,Life Sciences
01.11,Plant Sciences ,Life Sciences
01.12,Soil Sciences ,Life Sciences
01.99,"Agriculture, Agriculture Operations, and Related Sciences, Other ",Life Sciences
03.01,Natural Resources Conservation and Research ,Life Sciences
03.02,Natural Resources Management and Policy ,Life Sciences
03.03,Fishing and Fisheries Sciences and Management ,Life Sciences
03.05,Forestry ,Life Sciences
03.06,Wildlife and Wildlands Science and Management ,Life Sciences
03.99,"Natural Resources and Conservation, Other ",Life Sciences
04.02,Architecture ,Arts & Humanities
04.03,"City/Urban, Community and Regional Planning ",Arts & Humanities
04.04,Environmental Design ,Arts & Humanities
04.05,Interior Architecture ,Arts & Humanities
04.06,Landscape Architecture ,Arts & Humanities
04.08,Architectural History and Criticism ,Arts & Humanities
04.09,Architectural Sciences and Technology ,Arts & Humanities
04.10,Real Estate Development ,Arts & Humanities
04.99,"Architecture and Related Services, Other ",Arts & Humanities
05.01,Area Studies ,Social Sciences
05.02,"Ethnic, Cultural Minority, Gender, and Group Studies ",Social Sciences
05.99,"Area, Ethnic, Cultural, and Gender Studies, Other ",Social Sciences
09.01,Communication and Media Studies ,Social Sciences
09.04,Journalism ,Social Sciences
09.07,"Radio, Television, and Digital Communication ",Social Sciences
09.09,"Public Relations, Advertising, and Applied Communication ",Social Sciences
09.10,Publishing ,Social Sciences
09.99,"Communication, Journalism, and Related Programs, Other ",Social Sciences
10.01,Communications Technology/Technician ,Engineering & Technology
10.02,Audiovisual Communications Technologies/Technicians ,Engineering & Technology
10.03,Graphic Communications ,Engineering & Technology
10.99,"Communications Technologies/Technicians and Support Services, Other ",Engineering & Technology
11.01,"Computer and Information Sciences, General ",Engineering & Technology
11.02,Computer Programming ,Engineering & Technology
11.03,Data Processing ,Engineering & Technology
11.04,Information Science/Studies ,Engineering & Technology
11.05,Computer Systems Analysis ,Engineering & Technology
11.06,Data Entry/Microcomputer Applications ,Engineering & Technology
11.07,Computer Science ,Engineering & Technology
11.08,Computer Software and Media Applications ,Engineering & Technology
